country,measure,age,sex,year,value
Australia,Tobacco consumption,Total,Total,2016,13.4
Australia,Tobacco consumption,Total,Total,2019,12.9
Australia,Tobacco consumption,Total,Total,2022,13.1
Canada,Tobacco consumption,Total,Total,2016,14.7
Canada,Tobacco consumption,Total,Total,2017,14.4
Canada,Tobacco consumption,Total,Total,2018,14.2
Canada,Tobacco consumption,Total,Total,2019,14.5
Canada,Tobacco consumption,Total,Total,2020,14.1
Canada,Tobacco consumption,Total,Total,2021,13.9
Canada,Tobacco consumption,Total,Total,2022,13.4
Canada,Tobacco consumption,Total,Total,2024,13.3
Denmark,Tobacco consumption,Total,Total,2017,15.1
France,Tobacco consumption,Total,Total,2017,13.3
France,Tobacco consumption,Total,Total,2024,12.8
Germany,Tobacco consumption,Total,Total,2017,15.2
Germany,Tobacco consumption,Total,Total,2020,15.4
Germany,Tobacco consumption,Total,Total,2023,15.5
Greece,Tobacco consumption,Total,Total,2019,17
Italy,Tobacco consumption,Total,Total,2015,11.6
Italy,Tobacco consumption,Total,Total,2016,11.6
Italy,Tobacco consumption,Total,Total,2017,11.5
Italy,Tobacco consumption,Total,Total,2018,11.1
Italy,Tobacco consumption,Total,Total,2019,11.1
Italy,Tobacco consumption,Total,Total,2020,10.9
Italy,Tobacco consumption,Total,Total,2021,11
Italy,Tobacco consumption,Total,Total,2022,11
Italy,Tobacco consumption,Total,Total,2023,11
Italy,Tobacco consumption,Total,Total,2024,10.9
Japan,Tobacco consumption,Total,Total,2015,15.5
Japan,Tobacco consumption,Total,Total,2017,15.5
Japan,Tobacco consumption,Total,Total,2018,14.9
Japan,Tobacco consumption,Total,Total,2019,15.5
Japan,Tobacco consumption,Total,Total,2022,14.4
Korea,Tobacco consumption,Total,Total,2015,13.6
Korea,Tobacco consumption,Total,Total,2016,14.6
Korea,Tobacco consumption,Total,Total,2017,14.9
Korea,Tobacco consumption,Total,Total,2018,13.2
Korea,Tobacco consumption,Total,Total,2019,12.6
Korea,Tobacco consumption,Total,Total,2020,12.5
Korea,Tobacco consumption,Total,Total,2021,13
Korea,Tobacco consumption,Total,Total,2022,13
Korea,Tobacco consumption,Total,Total,2023,12.8
Korea,Tobacco consumption,Total,Total,2024,12.8
New Zealand,Tobacco consumption,Total,Total,2015,10.6
New Zealand,Tobacco consumption,Total,Total,2016,10.3
New Zealand,Tobacco consumption,Total,Total,2017,10.3
New Zealand,Tobacco consumption,Total,Total,2018,10
New Zealand,Tobacco consumption,Total,Total,2019,10
New Zealand,Tobacco consumption,Total,Total,2020,9.4
New Zealand,Tobacco consumption,Total,Total,2021,9.9
New Zealand,Tobacco consumption,Total,Total,2022,9.9
New Zealand,Tobacco consumption,Total,Total,2023,9.3
New Zealand,Tobacco consumption,Total,Total,2024,9.3
New Zealand,Tobacco consumption,Total,Total,2025,9.3
Türkiye,Tobacco consumption,Total,Total,2016,17.3
Türkiye,Tobacco consumption,Total,Total,2019,17.1
Türkiye,Tobacco consumption,Total,Total,2022,17.8
Türkiye,Tobacco consumption,Total,Total,2025,18.5
United Kingdom,Tobacco consumption,Total,Total,2015,10
United Kingdom,Tobacco consumption,Total,Total,2016,10
United Kingdom,Tobacco consumption,Total,Total,2017,10
United Kingdom,Tobacco consumption,Total,Total,2018,10
United Kingdom,Tobacco consumption,Total,Total,2019,10
United States,Tobacco consumption,Total,Total,2015,14.1
United States,Tobacco consumption,Total,Total,2016,14.1
United States,Tobacco consumption,Total,Total,2017,13.6
United States,Tobacco consumption,Total,Total,2018,13.9
United States,Tobacco consumption,Total,Total,2019,13.7
United States,Tobacco consumption,Total,Total,2020,13.8
United States,Tobacco consumption,Total,Total,2021,13.5
United States,Tobacco consumption,Total,Total,2022,13.5
United States,Tobacco consumption,Total,Total,2023,13.7
United States,Tobacco consumption,Total,Total,2024,13.9
Canada,Share of population who are regular vaping product users,15 years or over,Total,2019,4.7
Canada,Share of population who are regular vaping product users,From 15 to 24 years,Total,2020,13
Canada,Share of population who are regular vaping product users,15 years or over,Total,2020,4.4
Canada,Share of population who are regular vaping product users,15 years or over,Total,2023,6.2
Canada,Share of population who are regular vaping product users,From 15 to 24 years,Total,2023,19.4
Denmark,Share of population who are regular vaping product users,15 years or over,Total,2021,2.3
Denmark,Share of population who are regular vaping product users,From 15 to 24 years,Total,2021,4
Denmark,Share of population who are regular vaping product users,From 15 to 24 years,Total,2022,6.8
Denmark,Share of population who are regular vaping product users,15 years or over,Total,2022,4.1
Denmark,Share of population who are regular vaping product users,15 years or over,Total,2023,7.1
Denmark,Share of population who are regular vaping product users,From 15 to 24 years,Total,2023,8.7
Denmark,Share of population who are regular vaping product users,From 15 to 24 years,Total,2024,12
Denmark,Share of population who are regular vaping product users,15 years or over,Total,2024,6
France,Share of population who are regular vaping product users,15 years or over,Total,2024,7.9
Greece,Share of population who are regular vaping product users,15 years or over,Total,2019,1.8
Greece,Share of population who are regular vaping product users,From 15 to 24 years,Total,2019,0.5
New Zealand,Share of population who are regular vaping product users,15 years or over,Total,2016,1.4
New Zealand,Share of population who are regular vaping product users,From 15 to 24 years,Total,2016,2
